"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 07:53:26 GMT 2024","Thu Jun 06 07:53:26 GMT 2024","765","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 07:53:28 GMT 2024","Thu Jun 06 07:53:30 GMT 2024","2630","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 07:53:32 GMT 2024","Thu Jun 06 07:53:32 GMT 2024","42","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 07:53:17 GMT 2024","Thu Jun 06 07:53:18 GMT 2024","312","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 07:53:32 GMT 2024","Thu Jun 06 07:53:33 GMT 2024","684","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 07:53:33 GMT 2024","Thu Jun 06 07:53:34 GMT 2024","690","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 07:53:16 GMT 2024","Thu Jun 06 07:53:17 GMT 2024","732","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 07:53:17 GMT 2024","Thu Jun 06 07:53:17 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 07:53:17 GMT 2024","Thu Jun 06 07:53:17 GMT 2024","320","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
