"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 07:52:10 GMT 2024","Fri Jun 07 07:52:10 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 07:51:46 GMT 2024","Fri Jun 07 07:51:47 GMT 2024","770","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 07:51:47 GMT 2024","Fri Jun 07 07:51:47 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 07 07:51:47 GMT 2024","Fri Jun 07 07:51:47 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"broken","Fri Jun 07 07:51:57 GMT 2024","Fri Jun 07 07:52:08 GMT 2024","11173","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 07:51:47 GMT 2024","Fri Jun 07 07:51:47 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 07 07:52:11 GMT 2024","Fri Jun 07 07:52:11 GMT 2024","695","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 07:52:12 GMT 2024","Fri Jun 07 07:52:13 GMT 2024","692","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 07:51:55 GMT 2024","Fri Jun 07 07:51:56 GMT 2024","760","tests","test_edit","","","","test_autocomplete",""
